objectID,origin_label,origin_label_en,origin_precision,origin_lat,origin_lon,museum_lat,museum_lon
bm:W_1856-0909-57,Nínive,Nineveh,site,36.36,43.15,51.5194,-0.127
bm:W_1880-0617-1941,Babilonia,Babylon,site,32.5425,44.4213,51.5194,-0.127
bm:W_1880-330,India,India,country,20.5937,78.9629,51.5194,-0.127
bm:W_1897-1231-116,Takht-i Kuwad,Takht-i Kuwad,site,37.15,68.3667,51.5194,-0.127
bm:W_1922-0511-255,Carchemish,Carchemish,site,36.8167,38.0167,51.5194,-0.127
bm:W_1970-0209-18,"Ophel, Jerusalén","Ophel, Jerusalem",site,31.7745,35.2354,51.5194,-0.127
bm:W_1970-0604-2,Marib,Marib,site,15.43,45.3286,51.5194,-0.127
bm:W_As1967-02-1,Palestina,Palestine,country,31.9522,35.2332,51.5194,-0.127
bm:Y_EA1770,Kawa,Kawa,site,19.08,30.36,51.5194,-0.127
bm:Y_EA24,Fort Saint Julien,Fort Saint Julien,site,31.4022,30.4181,51.5194,-0.127
bm:Y_EA51515,Faras,Faras,site,22.1833,31.9,51.5194,-0.127
